brand,model,seller_type,fuel_type,transmission_type,avg_cost_price,vehicle_age,km_driven,mileage,max_power,seats,selling_price
Ford,Figo,Trustmark Dealer,Petrol,Manual,696500.0,4,19093,18.16,86.8,5,525000
Honda,Amaze,Individual,Petrol,Manual,843500.0,7,50000,18.0,86.7,5,400000
Maruti,Wagon R,Dealer,Petrol,Manual,605000.0,15,37000,14.0,64.0,5,155000
Maruti,Swift Dzire,Dealer,Diesel,Manual,832947.2891566264,5,47000,26.59,74.0,5,545000
Honda,City,Individual,Petrol,Manual,1529000.0,8,70000,16.8,116.3,5,545000
Renault,KWID,Individual,Petrol,Manual,485500.0,5,25000,25.17,53.3,5,240000
Maruti,Vitara,Dealer,Diesel,Manual,1081500.0,3,26000,24.3,88.5,5,725000
Ford,Aspire,Individual,Petrol,Manual,765000.0,4,30000,18.16,86.8,5,480000
Hyundai,i20,Individual,Petrol,Manual,1047500.0,8,15000,18.5,82.9,5,375000
Maruti,Swift,Individual,Diesel,Manual,774671.5686274511,10,160000,17.8,75.0,5,225000
Tata,Tiago,Individual,Petrol,Manual,676000.0,4,32100,23.84,84.0,5,400000
Hyundai,i20,Dealer,Petrol,Manual,1072000.0,5,22000,18.5,82.9,5,550000
Mahindra,Scorpio,Dealer,Diesel,Manual,1730985.3556485353,5,44000,15.4,120.0,7,1050000
Volkswagen,Polo,Dealer,Petrol,Manual,906500.0,5,78000,18.78,74.0,5,450000
Maruti,Wagon R,Individual,Petrol,Manual,605000.0,7,37000,20.51,67.04,5,350000
Honda,City,Dealer,Diesel,Manual,1617000.0,7,69000,25.1,98.6,5,550000
Kia,Seltos,Individual,Petrol,Manual,1519500.0,2,12120,16.8,113.4,5,1080000
Maruti,Baleno,Dealer,Petrol,Manual,869356.8464730291,5,52000,21.01,81.8,5,575000
Toyota,Innova,Individual,Diesel,Manual,2486142.8571428573,5,120000,12.99,100.6,8,950000
Maruti,Alto,Individual,Petrol,Manual,406500.0,8,55000,22.74,47.3,5,230000
Hyundai,i20,Individual,Diesel,Manual,994000.0,10,160000,21.9,90.0,5,270000
Ford,Figo,Individual,Petrol,Manual,702000.0,10,40000,15.6,70.0,5,130000
Maruti,Swift Dzire,Dealer,Petrol,Manual,824000.0,9,46000,19.1,85.8,5,370000
Maruti,Baleno,Dealer,Petrol,Manual,855000.0,4,25000,21.4,83.1,5,570000
Volkswagen,Polo,Dealer,Diesel,Manual,928383.0409356725,8,90000,22.07,73.9,5,365000
Hyundai,i20,Dealer,Petrol,Manual,1081004.213483146,9,49566,18.5,82.85,5,280000
Hyundai,Verna,Dealer,Diesel,Automatic,1569000.0,3,14000,22.0,126.2,5,1250000
Hyundai,i20,Dealer,Petrol,Manual,1072000.0,5,11000,18.6,81.83,5,590000
Maruti,Celerio,Individual,Petrol,Automatic,597500.0,3,5000,23.1,67.04,5,475000
Ford,Ecosport,Dealer,Diesel,Manual,1196500.0,4,55000,23.0,98.96,5,685000
Hyundai,Verna,Dealer,Diesel,Automatic,1458305.7553956835,9,65000,19.08,126.32,5,380000
Renault,KWID,Individual,Petrol,Manual,522500.0,3,22000,23.01,67.0,5,330000
Maruti,Baleno,Trustmark Dealer,Petrol,Manual,855000.0,3,7671,21.01,81.8,5,650000
Maruti,Wagon R,Individual,Petrol,Manual,595000.0,5,66000,20.51,67.04,5,325000
Maruti,Swift Dzire,Dealer,Petrol,Automatic,830000.0,3,45156,21.21,81.8,5,640000
Hyundai,Venue,Individual,Petrol,Manual,965500.0,2,25000,18.27,118.35,5,949000
Hyundai,Verna,Individual,Diesel,Manual,1546500.0,6,120000,23.9,126.2,5,660000
Maruti,Swift,Dealer,Petrol,Manual,781000.0,7,28000,16.1,85.0,5,435000
Hyundai,i20,Dealer,Diesel,Manual,1141500.0,8,55000,21.9,88.76,5,385000
Hyundai,Verna,Dealer,Diesel,Automatic,1569000.0,2,14000,22.0,126.2,5,1250000
Maruti,Wagon R,Dealer,Petrol,Manual,618500.0,12,98780,18.9,67.1,5,155000
Maruti,Swift,Dealer,Diesel,Manual,774671.5686274511,6,58000,25.2,74.0,5,415000
Maruti,Alto,Individual,Petrol,Manual,411202.7027027027,10,30000,20.92,67.1,5,251000
Mahindra,Scorpio,Dealer,Diesel,Manual,1751000.0,5,46400,15.4,120.0,7,1150000
Hyundai,i10,Trustmark Dealer,Petrol,Manual,713826.6666666667,7,32111,19.81,68.05,5,310000
Datsun,GO,Individual,Petrol,Manual,634000.0,6,35000,19.44,67.0,7,350000
Mahindra,Scorpio,Dealer,Diesel,Manual,1751000.0,4,30000,15.4,120.0,7,1125000
BMW,5,Dealer,Diesel,Automatic,7896307.692307692,5,63000,18.59,261.49,5,2600000
Datsun,GO,Individual,Petrol,Manual,653000.0,3,10000,20.62,67.0,7,480000
Maruti,Swift Dzire,Individual,Diesel,Automatic,832947.2891566264,4,25000,28.4,74.02,5,850000
Hyundai,Creta,Dealer,Diesel,Automatic,1572500.0,4,102000,17.01,126.2,5,1100000
Maruti,Swift,Dealer,Petrol,Manual,774671.5686274511,3,35000,22.0,81.8,5,575000
Maruti,Swift Dzire,Dealer,Petrol,Manual,830000.0,9,49948,17.5,85.8,5,340000
Ford,Ecosport,Individual,Diesel,Manual,1193000.0,3,55000,23.0,98.96,5,925000
Hyundai,Grand,Dealer,Petrol,Manual,652500.0,6,36000,18.9,82.0,5,400000
Honda,City,Dealer,Petrol,Manual,1474000.0,5,49625,17.8,117.3,5,725000
Maruti,Swift Dzire,Individual,Diesel,Manual,832947.2891566264,7,35000,23.4,74.0,5,600000
Mahindra,Scorpio,Individual,Diesel,Manual,1699500.0,8,95000,12.05,120.0,8,550000
Ford,Aspire,Dealer,Diesel,Manual,990000.0,4,36000,25.83,99.0,5,585000
Maruti,Wagon R,Individual,Petrol,Manual,624000.0,2,50000,21.79,67.05,5,411000
Maruti,Swift Dzire,Individual,Petrol,Manual,846500.0,6,26500,20.85,83.14,5,450000
Honda,CR-V,Dealer,Petrol,Automatic,3334500.0,6,80000,13.7,153.86,5,1290000
Volkswagen,Polo,Dealer,Petrol,Manual,928383.0409356725,6,46000,16.47,74.0,5,455000
Hyundai,Grand,Individual,Petrol,Manual,743500.0,2,9000,20.7,81.86,5,710000
Honda,City,Dealer,Petrol,Manual,1474000.0,5,53000,16.8,116.3,5,770000
Ford,Endeavour,Individual,Diesel,Automatic,3950000.0,3,11387,10.91,197.0,7,2900000
Honda,Amaze,Individual,Diesel,Manual,1032500.0,3,50000,25.8,98.6,5,720000
Mahindra,KUV,Dealer,Diesel,Manual,780383.3333333333,5,52000,25.32,77.0,5,375000
Datsun,GO,Individual,Petrol,Manual,634000.0,6,35000,19.44,67.0,7,400000
Renault,Duster,Individual,Diesel,Manual,1416888.888888889,6,48000,19.87,83.8,5,600000
Honda,Jazz,Individual,Petrol,Manual,977500.0,3,18000,18.7,88.7,5,600000
Maruti,Wagon R,Individual,LPG,Manual,618558.6145648313,9,57413,14.4,61.7,5,270000
Hyundai,i20,Individual,Petrol,Manual,1014500.0,6,30000,18.6,81.83,5,500000
Hyundai,Verna,Dealer,Diesel,Manual,1569000.0,6,55000,23.9,126.2,5,650000
Maruti,Swift,Individual,Petrol,Automatic,771500.0,3,10000,21.21,81.8,5,660000
BMW,3,Dealer,Diesel,Automatic,5468136.363636363,5,68000,22.69,190.0,5,2090000
Kia,Seltos,Dealer,Petrol,Manual,1589000.0,1,8000,16.8,113.4,5,1275000
Maruti,Swift,Dealer,Diesel,Manual,774671.5686274511,6,65000,28.4,74.0,5,495000
Hyundai,Grand,Individual,Petrol,Manual,729500.0,5,25000,18.9,82.0,5,475000
Maruti,Ciaz,Individual,Petrol,Manual,1107000.0,6,70000,20.73,91.1,5,530000
Tata,Tiago,Individual,Petrol,Manual,667500.0,5,9500,23.84,84.0,5,530000
Hyundai,Verna,Individual,Petrol,Manual,1302500.0,6,9100,17.01,121.3,5,650000
Honda,City,Dealer,Petrol,Manual,1420500.0,11,86000,17.0,118.0,5,335000
Audi,A4,Dealer,Diesel,Automatic,5257923.076923077,8,78000,16.55,147.51,5,1290000
Ford,Figo,Individual,Diesel,Manual,873745.8333333333,10,60000,20.0,68.0,5,300000
Maruti,Wagon R,Trustmark Dealer,Petrol,Automatic,595000.0,2,7883,21.5,81.8,5,550000
Maruti,Swift Dzire,Trustmark Dealer,Diesel,Manual,832947.2891566264,8,50205,23.4,74.0,5,390000
Mahindra,Bolero,Individual,Diesel,Manual,970000.0,13,220000,13.6,63.0,7,260000
Tata,Tigor,Dealer,Diesel,Manual,754166.6666666667,4,58000,24.7,69.0,5,395000
Mahindra,Scorpio,Individual,Diesel,Manual,1716500.0,9,170000,12.05,120.0,8,550000
Maruti,Swift Dzire,Individual,Petrol,Manual,828500.0,3,15000,22.0,81.8,5,650000
Maruti,Swift,Dealer,Diesel,Manual,774671.5686274511,5,71245,28.4,74.0,5,375000
Kia,Seltos,Individual,Petrol,Manual,1519500.0,2,7000,16.1,138.0,5,1300000
Maruti,Alto,Individual,Petrol,Manual,411202.7027027027,3,20000,23.95,67.05,5,360000
Maruti,Celerio,Individual,Petrol,Manual,597500.0,1,8700,21.63,67.04,5,505000
Maruti,Alto,Individual,Petrol,Manual,406500.0,2,25000,24.7,47.3,5,310000
Hyundai,i20,Dealer,Petrol,Manual,1072000.0,6,42000,18.6,81.86,5,545000
Mahindra,Bolero,Individual,Diesel,Manual,987000.0,15,120000,13.6,63.0,7,150000
Maruti,Baleno,Individual,Petrol,Manual,837500.0,3,50000,21.4,83.1,5,580000
Maruti,Wagon R,Individual,Petrol,Manual,624000.0,10,58000,18.9,67.1,5,250000
Hyundai,Verna,Individual,Petrol,Manual,1353000.0,4,36000,17.43,105.5,5,650000
Maruti,Ertiga,Individual,Diesel,Manual,1038372.0,3,30000,25.47,88.5,7,410000
Ford,Ecosport,Dealer,Diesel,Manual,1196500.0,6,162828,22.77,98.59,5,531000
Ford,Ecosport,Individual,Diesel,Manual,1171862.9283489096,3,7500,23.0,98.96,5,890000
Tata,Safari,Dealer,Diesel,Manual,1813000.0,5,47227,14.0,138.1,7,775000
Maruti,Wagon R,Dealer,CNG,Manual,619000.0,3,52000,33.54,67.04,5,435000
Ford,Figo,Dealer,Diesel,Manual,921000.0,9,74000,20.0,68.05,5,185000
Mahindra,Bolero,Dealer,Diesel,Manual,987000.0,10,47000,15.96,62.1,7,440000
Hyundai,i20,Individual,Petrol,Manual,1014500.0,6,50000,18.6,81.83,5,450000
Maruti,Baleno,Individual,Petrol,Manual,878000.0,4,100000,21.4,83.1,5,600000
Maruti,Celerio,Individual,Petrol,Manual,580000.0,7,35000,23.1,67.04,5,320000
Hyundai,i20,Individual,Diesel,Manual,1081004.213483146,5,50000,21.19,88.73,5,700000
Ford,Aspire,Individual,Petrol,Manual,765000.0,3,10000,18.16,86.8,5,630000
Maruti,Alto,Individual,Petrol,Manual,406000.0,5,10370,22.74,47.3,5,320000
Honda,City,Dealer,Petrol,Manual,1474000.0,8,62000,16.8,116.3,5,465000
Hyundai,i20,Individual,Petrol,Manual,1081004.213483146,5,40000,18.6,81.83,5,550000
Maruti,Swift,Individual,Petrol,Manual,771500.0,4,60000,22.0,81.8,5,445000
Tata,Safari,Dealer,Diesel,Manual,1813000.0,8,67231,14.0,138.1,7,705000
Maruti,Wagon R,Dealer,CNG,Manual,600500.0,8,64000,33.54,67.04,5,270000
Honda,City,Dealer,Diesel,Manual,1519207.8825347759,7,63000,26.0,98.6,5,475000
Toyota,Fortuner,Individual,Diesel,Manual,4175000.0,6,80000,12.55,168.5,7,1755000
Honda,City,Dealer,Petrol,Manual,1474000.0,10,55000,16.9,100.0,5,350000
Hyundai,i20,Dealer,Petrol,Manual,1072000.0,5,11000,18.6,81.83,5,575000
Renault,KWID,Individual,Petrol,Manual,505000.0,4,17000,23.01,67.0,5,360000
Maruti,Alto,Individual,Petrol,Manual,406000.0,4,25000,24.7,47.3,5,275000
Datsun,GO,Individual,Petrol,Manual,622500.0,5,33350,19.44,67.0,7,320000
Hyundai,Grand,Dealer,Petrol,Manual,652500.0,6,62000,18.9,82.0,5,370000
Maruti,Swift Dzire,Individual,Petrol,Manual,828500.0,12,59000,17.5,85.8,5,275000
Honda,City,Dealer,Petrol,Manual,1474000.0,7,86113,17.4,117.3,5,550000
Maruti,Swift Dzire,Individual,Diesel,Manual,832947.2891566264,3,10000,28.4,74.02,5,750000
Maruti,Wagon R,Individual,Petrol,Manual,624000.0,6,92537,20.51,67.04,5,272000
Maruti,Ciaz,Dealer,Diesel,Manual,1159571.9424460432,2,27645,28.09,88.5,5,951000
Maruti,Alto,Individual,Petrol,Manual,411202.7027027027,8,46242,20.92,67.1,5,280000
Honda,City,Individual,Petrol,Manual,1529000.0,8,70000,16.8,116.3,5,545000
Renault,KWID,Individual,Petrol,Manual,506758.6206896552,1,6000,22.3,53.26,5,450000
Hyundai,i20,Dealer,Petrol,Manual,1024000.0,4,64000,18.6,81.83,5,480000
Mahindra,Scorpio,Dealer,Diesel,Manual,1741000.0,4,93000,15.4,120.0,7,1060000
Maruti,Alto,Dealer,Petrol,Manual,406500.0,8,26200,22.74,47.3,5,235000
Maruti,Baleno,Individual,Petrol,Manual,855000.0,4,25000,21.4,83.1,5,590000
Toyota,Fortuner,Dealer,Diesel,Automatic,4310500.0,3,50000,12.9,174.5,7,2950000
Hyundai,Santro,Individual,Petrol,Manual,639939.0243902439,13,80000,17.92,62.1,5,110000
Mahindra,Scorpio,Individual,Diesel,Manual,1779500.0,14,110000,13.5,115.0,5,280000
Audi,A4,Dealer,Petrol,Automatic,5128000.0,5,55000,17.84,147.51,5,1851000
Honda,City,Individual,Petrol,Manual,1490500.0,3,25000,17.4,117.3,5,750000
Hyundai,Grand,Dealer,Petrol,Manual,652500.0,6,36000,18.9,81.86,5,400000
Maruti,Swift Dzire,Individual,Diesel,Manual,832947.2891566264,6,40000,26.59,74.0,5,530000
Mahindra,Thar,Individual,Diesel,Manual,1516000.0,3,25000,16.55,105.0,6,870000
Renault,KWID,Dealer,Petrol,Manual,460500.0,3,30038,25.17,53.3,5,295000
Tata,Tiago,Individual,Diesel,Manual,677372.2222222222,4,53000,27.28,69.0,5,370000
Maruti,Swift,Individual,Petrol,Manual,782500.0,3,5000,21.21,81.8,5,530000
Renault,KWID,Individual,Petrol,Automatic,485500.0,4,35000,24.04,67.0,5,350000
Ford,Ecosport,Dealer,Diesel,Manual,1176500.0,8,62000,22.7,89.84,5,470000
Ford,Aspire,Individual,Diesel,Manual,981500.0,6,42000,25.83,99.0,5,390000
Mahindra,Scorpio,Individual,Diesel,Manual,1751000.0,6,80000,15.4,120.0,7,920000
Mahindra,XUV500,Individual,Diesel,Manual,1991000.0,8,60000,15.1,140.0,7,550000
Hyundai,Verna,Individual,Diesel,Manual,1569000.0,7,45000,22.32,126.32,5,635000
Mahindra,XUV500,Dealer,Diesel,Automatic,1991000.0,4,50000,16.0,140.0,7,1250000
Maruti,Alto,Individual,Petrol,Manual,406000.0,3,12000,24.7,47.3,5,300000
Honda,City,Individual,Petrol,Automatic,1490500.0,3,12000,18.0,117.6,5,960000
Maruti,Vitara,Individual,Diesel,Manual,1081500.0,3,15000,24.3,88.5,5,750000
Volkswagen,Polo,Dealer,Petrol,Manual,906500.0,10,63000,16.47,73.9,5,249000
Tata,Hexa,Individual,Diesel,Manual,1410000.0,3,30000,17.6,153.86,7,1400000
Ford,Figo,Individual,Diesel,Manual,918500.0,10,160800,20.0,68.0,5,250000
Hyundai,Verna,Individual,Diesel,Manual,1546500.0,7,120000,22.32,126.32,5,610000
Ford,Ecosport,Dealer,Diesel,Manual,1196500.0,5,78247,21.7,98.96,5,545000
Hyundai,Verna,Individual,Diesel,Manual,1360000.0,8,113000,22.32,126.3,5,480000
Hyundai,i20,Dealer,Petrol,Manual,1072000.0,7,52000,18.6,81.83,5,395000
Toyota,Innova,Dealer,Diesel,Manual,2486142.8571428573,9,109000,12.99,100.6,7,495000
Hyundai,Grand,Individual,Petrol,Manual,698500.0,4,90000,18.9,82.0,5,470000
Volkswagen,Polo,Dealer,Diesel,Manual,928383.0409356725,10,98000,22.07,73.9,5,200000
Hyundai,i20,Individual,Diesel,Manual,1081004.213483146,5,20000,21.19,88.73,5,699000
Maruti,Wagon R,Individual,Petrol,Manual,624000.0,7,21717,20.51,67.04,5,340000
Renault,Duster,Individual,Diesel,Manual,1416888.888888889,7,40000,20.45,83.8,5,500000
Honda,City,Individual,Petrol,Manual,1529000.0,4,50000,17.14,117.6,5,1050000
Renault,Duster,Individual,Diesel,Manual,1416888.888888889,5,90000,19.6,108.45,5,600000
Maruti,Swift,Dealer,Petrol,Manual,781000.0,4,27876,20.4,81.8,5,491000
Land Rover,Rover,Dealer,Petrol,Automatic,7220000.0,5,56000,12.63,177.0,5,2890000
Hyundai,i10,Individual,Petrol,Manual,713826.6666666667,13,57215,20.36,78.9,5,160000
Hyundai,Venue,Dealer,Petrol,Manual,1090500.0,2,5400,18.27,118.35,5,985000
Maruti,Swift Dzire,Individual,Diesel,Manual,832947.2891566264,7,60000,23.4,74.0,5,500000
Tata,Tiago,Individual,Petrol,Manual,676000.0,4,24800,23.84,84.0,5,335000
Maruti,Alto,Individual,Petrol,Manual,411202.7027027027,16,70000,19.7,46.3,5,85000
Honda,Jazz,Dealer,Petrol,Automatic,973500.0,3,20000,17.1,88.51,5,740000
Maruti,Swift,Dealer,Petrol,Manual,751000.0,8,34553,22.0,81.8,5,375000
Maruti,Vitara,Individual,Diesel,Manual,1081500.0,3,40000,24.3,88.5,5,810000
Volkswagen,Polo,Individual,Petrol,Manual,928383.0409356725,11,350000,16.47,73.9,5,173000
Maruti,Vitara,Individual,Diesel,Manual,1081500.0,4,50000,24.3,88.5,5,700000
Mahindra,KUV,Individual,Diesel,Manual,780383.3333333333,5,70000,25.32,77.0,6,310000
Mahindra,Scorpio,Individual,Diesel,Manual,1751000.0,4,120000,15.4,120.0,7,850000
Hyundai,i20,Individual,Diesel,Manual,1117000.0,8,90000,22.54,88.76,5,285000
Maruti,Swift Dzire,Individual,Diesel,Manual,832947.2891566264,7,120000,23.4,74.0,5,450000
Hyundai,Creta,Individual,Diesel,Manual,1656000.0,4,80000,19.67,126.2,5,1100000
Mahindra,Scorpio,Individual,Diesel,Manual,1699500.0,4,30000,15.4,120.0,7,1080000
Honda,City,Dealer,Diesel,Manual,1524500.0,7,66100,26.0,98.6,5,530000
Maruti,Swift Dzire,Individual,Diesel,Manual,832947.2891566264,4,50000,28.4,74.02,5,680000
Mahindra,Scorpio,Dealer,Diesel,Manual,1751000.0,4,42000,15.4,120.0,7,1025000
Hyundai,i20,Individual,Petrol,Manual,1071500.0,4,55000,18.6,81.83,5,650000
Hyundai,i10,Dealer,Petrol,Manual,713826.6666666667,9,110699,20.36,78.9,5,194000
Maruti,Baleno,Individual,Petrol,Automatic,867500.0,2,5000,21.4,83.1,5,686000
Maruti,Alto,Individual,Petrol,Manual,390500.0,5,50000,22.74,47.3,5,200000
Maruti,Swift Dzire,Dealer,Petrol,Manual,824000.0,11,44000,19.1,85.8,5,250000
Maruti,Vitara,Individual,Diesel,Manual,1081500.0,3,90000,24.3,88.5,5,730000
Hyundai,Verna,Dealer,Petrol,Manual,1353000.0,5,55000,17.01,121.3,5,650000
Maruti,Vitara,Dealer,Diesel,Manual,1081500.0,4,45000,24.3,88.5,5,790000
Maruti,Baleno,Individual,Petrol,Manual,878000.0,4,30000,21.4,83.1,5,620000
Hyundai,Verna,Individual,Petrol,Manual,1208000.0,8,50000,17.01,121.3,5,510000
Maruti,Eeco,Individual,Petrol,Manual,486000.0,8,20000,15.37,73.0,5,375000
Maruti,Swift Dzire,Trustmark Dealer,Petrol,Automatic,839000.0,4,19843,21.21,81.8,5,620000
Ford,Endeavour,Individual,Diesel,Automatic,3846500.0,10,30000,11.4,153.86,7,950000
Toyota,Innova,Dealer,Diesel,Manual,2490000.0,4,52300,13.68,147.51,7,1450000
Honda,City,Individual,Petrol,Automatic,1420500.0,5,40000,18.0,117.3,5,845000
Maruti,Swift Dzire,Dealer,Diesel,Manual,832947.2891566264,7,61500,23.4,74.0,5,390000
Honda,Amaze,Dealer,Petrol,Manual,847000.0,6,59000,18.0,86.7,5,395000
Hyundai,Grand,Individual,Petrol,Manual,717000.0,3,40000,18.9,81.86,5,450000
Audi,A6,Individual,Diesel,Automatic,6801100.0,8,60000,17.68,174.33,5,1700000
Hyundai,Grand,Dealer,Petrol,Manual,652500.0,8,61000,18.9,82.0,5,325000
Mahindra,KUV,Individual,Diesel,Manual,780383.3333333333,5,70000,25.32,77.0,6,350000
Mahindra,XUV500,Dealer,Diesel,Manual,1991000.0,8,63000,15.1,140.0,7,650000
Maruti,Swift Dzire,Individual,Diesel,Manual,832947.2891566264,4,22000,28.4,74.02,5,750000
Honda,City,Dealer,Petrol,Manual,1519207.8825347759,11,57977,17.0,118.0,5,299000
Land Rover,Rover,Dealer,Petrol,Automatic,7024000.0,3,13000,12.19,237.36,4,7000000
Mini,Cooper,Dealer,Petrol,Automatic,4692500.0,9,67000,17.33,189.08,4,1325000
Maruti,Ertiga,Dealer,Diesel,Manual,1038372.0,7,48242,20.77,88.76,7,524000
Ford,Figo,Dealer,Diesel,Manual,895500.0,9,68000,20.0,68.05,5,169000
Maruti,Ertiga,Individual,Diesel,Manual,1038372.0,7,40000,20.77,88.8,7,500000
Audi,Q7,Dealer,Diesel,Automatic,8060000.0,9,98000,12.07,241.4,7,2000000
Maruti,Swift Dzire,Individual,Diesel,Manual,832947.2891566264,8,113450,23.4,74.0,5,380000
